,pertanyaan,jawaban,penilai 1,penilai 2
0,"Jelaskan selengkap mungkin yang anda ketahui mengenai research question (rumusan masalah) dan research objective (tujuan penelitian), serta bagaimana hubungan di antara keduanya?","Baik itu  Research Question (RQ) maupun Research Objective (RO), mereka berdua adalah hasil dari sebuah Research Problem (RP).

RQ Sendiri adalah pertanyaan-pertanyaan yang muncul setelah kita mendefinisikan RP . Jadi RQ itu sendiri adalah pertanyaan-pertanyaan tentang bagaimana kita menyelesaikan RP yang ada.

Sedangkan RO adalah tujuan/goal yang harus kita capai untuk menyelesaikan RP.

Hubungan diantara keduanya adalah Research Objective bertujuan untuk mendapat jawaban dan kesimpulan untuk Research Question",10,10
1,"Jelaskan selengkap mungkin yang anda ketahui mengenai research question (rumusan masalah) dan research objective (tujuan penelitian), serta bagaimana hubungan di antara keduanya?",Research Question (rumusan masalah) adalah pertanyaan mengenai bagaimana cara untuk memberikan penyelesaian terhadap masalah (Research Problem) yang ada. Kemudian Research Objective (Tujuan penelitian) merupakan tujuan atau target yang diharapkan setelah melakukan penelitian. Research Question (rumusan masalah) dan Research Objective (tujuan penelitian) saling berhubungan karena Research objective (tujuan penelitian) harus menjawab dan menyelesaikan pertanyaan-pertanyaan apa yang ada di dalam research question (rumusan masalah).,10,10
2,"Jelaskan selengkap mungkin yang anda ketahui mengenai research question (rumusan masalah) dan research objective (tujuan penelitian), serta bagaimana hubungan di antara keduanya?","reswarch question merupakan tulisan-tulisan singkat yang berisi pertanyaan tentang topik atau ide diangkat oleh penulis dalam menyusun sebuah karya tulis. tujuan penelitian adalah hal yang akan dicapai setelah kita merumuskan masalah yang ada. tujuan penelitian bertujuan menemukan ilmu-ilmu baru. untuk membuat tujuan peneltian, kita harus membuat pertanyaan pertanyaan terlebih dahulu untuk mengetahui masalah masalah yang ada. penyelesainan dari pertanyaan yang muncul akan dituliskan pada tujuan penelitian. ",9,8
3,"Jelaskan selengkap mungkin yang anda ketahui mengenai research question (rumusan masalah) dan research objective (tujuan penelitian), serta bagaimana hubungan di antara keduanya?","RESEARCH QUESTION (RUMUSAN MASALAH) adalah dasar untuk melakukan penelitian agar masalah yang akan dibangun dan dipecahkan memiliki pedoman yang jelas. Biasanya berisi pertanyaan-pertanyaan mengenai masalah yang akan di buat

RESEARCH OBJECTIVE (TUJUAN PENELITIAN)  adalah apa tujuan dari penelitian yang kita lakukan.

Hubungan antara keduanya yaitu, tujuan penelitian harus sejalan dengan rumusan masalah.",9,7
4,"Jelaskan selengkap mungkin yang anda ketahui mengenai research question (rumusan masalah) dan research objective (tujuan penelitian), serta bagaimana hubungan di antara keduanya?","Research question (rumusan masalah) merupakan bentuk pertanyaan permasalahan yang menjadi fokus utama dalam penelitian. Rumusan masalah dibuat dari masalah penelitian yang ada agar permasalahan dari penelitian terpecah menjadi sub-permasalahan yang lebih mudah diselesaikan

Research objective (tujuan penelitian) merupakan tujuan dari penelitian yang dilakukan. Penelitian dilakukan untuk menyelesaikan suatu permasalahan yang telah dirumuskan dalam rumusan masalah. Hubungan dari keduanya adalah research objective akan menentukan apa saja yang dilakukan dalam penelitian, dan dibuat dari research question yang telah dirumuskan",9,8
5,"Jelaskan selengkap mungkin yang anda ketahui mengenai research question (rumusan masalah) dan research objective (tujuan penelitian), serta bagaimana hubungan di antara keduanya?","Research question merupakan pertanyaan / hipotesis yang akan menjadi rumusan masalah / dasar dalam suatu penelitian. pertanyaan / hipotesis tersebut akan dicari jawabannya dan dibuktikan . Sedangkan, Research objective akan menjadi tujuan dari penelitian tersebut dan manfaatnya. Research question berhubungan dengan research objective karena saling berkaitan. penelitian dilakukan berdasarkan research question. kemudian tujuannya akan dituangkan dalam research objective",9,8
6,"Jelaskan selengkap mungkin yang anda ketahui mengenai research question (rumusan masalah) dan research objective (tujuan penelitian), serta bagaimana hubungan di antara keduanya?","Research question(RQ) merupakan rumusan masalah dari suatu permasalahan yang akan kita selesaikan dalam penelitian, sedangkan Research Objective merupakan tujuan atas pemecahan masalah tersebut. Keduanya berhubungan untuk menyelesaikan suatu Research Problem karena sebelum dibuatnya tujuan pemecahan masalahnya kita harus terlebih dahulu merumuskan masalahnya apa saja.",9,10
7,"Jelaskan selengkap mungkin yang anda ketahui mengenai research question (rumusan masalah) dan research objective (tujuan penelitian), serta bagaimana hubungan di antara keduanya?","Rumusan masalah : merupakan sebuah inti permasalahan yang ingin dibahas dari riset yang dilakukan, yang dimana harus terjawab pada saat akhir penelitian 

Tujuan masalah : merupakan sebuah objective yang ingin dicapai dari hasil penelitian, yang menjawab rumusan masalah yang telah dibuat 

hubungan keduanya : tujuan penelitian merupakan hasil yang ingin dicapai dari rumusan masalah yang dibuat dari penelitian ",8,8
8,"Jelaskan selengkap mungkin yang anda ketahui mengenai research question (rumusan masalah) dan research objective (tujuan penelitian), serta bagaimana hubungan di antara keduanya?","Research question atau masalah penelitian merupakan dasar atau alasan mengapa suatu penelitian akan dilakukan. Research question berbentuk sebuah pertanyaan penelitian yang akan dilakukan. Pada bagian ini penulis berusaha merumuskan hal yang ingin diteliti guna menyelesaikan masalah. Kaitannya dengan tujuan penelitian, tujuan ini adalah jawaban atas penelitian yang dilakukan. Tujuan penelitian merupakan hal yang akan dilakukan untuk menjawab rumusan masalah tersebut sehingga rumusan masalah terselesaikan.",8,9
9,"Jelaskan selengkap mungkin yang anda ketahui mengenai research question (rumusan masalah) dan research objective (tujuan penelitian), serta bagaimana hubungan di antara keduanya?","Rumusan masalah berisi pertanyaan tentang topik diangkat oleh penulis. Sehingga dengan rumusan masalah, penulis berusaha mencari jawaban atas pertanyaan yang dikemukakan, sehingga penelitian memiliki suatu kesimpulan. Sejumlah kata tanya yang digunakan dalam rumusan masalah adalah “mengapa” dan “bagaimana” karena membuka peluang penelitian bisa dilakukan secara mendalam. Meskipun kata tanya lain juga masih bisa digunakan untuk mengulas suatu masalah dalam penulisan.

Secara umum tujuan penelitian antara lain: Untuk memperoleh pengetahuan atau penemuan baru. Sebagai pembuktian atau pengujian tentang kebenaran dari pengetahuan yang sudah ada. Sebagai pengembangan pengetahuan suatu bidang keilmuan yang sudah ada. Dan sebagai jawaban atas rumusan masalah

Hubungan antara rumusan masalah dan tujuan penelitian yaitu keduanya merupakan unsur penting dalam sebuah penelitian yang menentukan arah pembahasan penelitian yang akan dilakukan.",8,7
